"EPISODE","PODCAST","DOWNLOADS","Download reach","% OF TOTAL"
"Biden and the Border (Part 1), with Charanya Krishnaswami","The Melting Pod","1,289","1,055","18%"
"Who’s Afraid of the H-1B?","The Melting Pod","1,072","895","15%"
"Welcome to The Melting Pod","The Melting Pod","1,955","806","13%"
"The Truth About ICE, with Jason Houser","The Melting Pod","911","700","12%"
"The Reality-Based Economics of Immigration, with Jenny Hunt","The Melting Pod","726","668","11%"
"A Winning Message on Immigration, with Beatriz Lopez","The Melting Pod","740","648","11%"
"News Digest: Green Card Chaos, Hunger Strikes, and Stern Dad Energy","The Melting Pod","700","638","11%"
"The Heartbreak of Immigration Reform, with Esther Olavarria","The Melting Pod","1,606","637","11%"
"Three Big Lies About Immigrants and Fraud, with Sonya Schwartz","The Melting Pod","1,042","557","9%"
"Confessions of an Immigration Bureaucrat, with Michael Valverde","The Melting Pod","636","556","9%"
"Biden and the Border (Part 2), with Charanya Krishnaswami","The Melting Pod","625","554","9%"
"DACA and the Dreamer Movement, with Felicia Escobar Carrillo","The Melting Pod","857","552","9%"
"Asylum Is Not a Loophole, with Colleen Zengotitabengoa","The Melting Pod","455","418","7%"
"News Dive: The Great De-Legalization, H-1B Follies, and Midterm Predictions","The Melting Pod","422","387","6%"
"Trailer: What is The Melting Pod?","The Melting Pod","352","340","6%"
