EPISODE,PODCAST,DOWNLOADS,PUBLISHED,FIRST 24 HOURS,FIRST 7 DAYS,TO DATE
"News Digest: Green Card Chaos, Hunger Strikes, and Stern Dad Energy",The Melting Pod,626.0,"Jun 3, 2026",315.0,491.0,700.0
"The Reality-Based Economics of Immigration, with Jenny Hunt",The Melting Pod,564.0,"Jun 19, 2026",291.0,501.0,726.0
"A Winning Message on Immigration, with Beatriz Lopez",The Melting Pod,419.0,"Jun 30, 2026",214.0,494.0,740.0
Welcome to The Melting Pod,The Melting Pod,239.0,"Feb 23, 2026",125.0,414.0,1940.0
"The Truth About ICE, with Jason Houser",The Melting Pod,202.0,"May 26, 2026",341.0,551.0,911.0
"The Heartbreak of Immigration Reform, with Esther Olavarria",The Melting Pod,188.0,"Mar 2, 2026",124.0,286.0,1606.0
"Biden and the Border (Part 1), with Charanya Krishnaswami",The Melting Pod,128.0,"Feb 23, 2026",94.0,301.0,1286.0
"DACA and the Dreamer Movement, with Felicia Escobar Carrillo",The Melting Pod,89.0,"Mar 9, 2026",161.0,299.0,857.0
Who’s Afraid of the H-1B?,The Melting Pod,43.0,"Mar 17, 2026",149.0,362.0,1072.0
"Biden and the Border (Part 2), with Charanya Krishnaswami",The Melting Pod,31.0,"Feb 23, 2026",70.0,206.0,620.0
Trailer: What is The Melting Pod?,The Melting Pod,20.0,"Feb 23, 2026",31.0,64.0,347.0
"Confessions of an Immigration Bureaucrat, with Michael Valverde",The Melting Pod,0,"Aug 13, 2026",234.0,427.0,636.0
"Asylum Is Not a Loophole, with Colleen Zengotitabengoa",The Melting Pod,0,"Sep 4, 2026",234.0,403.0,455.0
"News Dive: The Great De-Legalization, H-1B Follies, and Midterm Predictions",The Melting Pod,0,"Sep 10, 2026",260.0,402.0,422.0
"Three Big Lies About Immigrants and Fraud, with Sonya Schwartz",The Melting Pod,0,"Jul 22, 2026",246.0,406.0,1042.0
