Episode name,Publish date,Plays
"News Dive: The Great De-Legalization, H-1B Follies, and Midterm Predictions",9/10/2026,30
"Asylum Is Not a Loophole, with Colleen Zengotitabengoa",9/4/2026,44
"Confessions of an Immigration Bureaucrat, with Michael Valverde",8/13/2026,111
"Three Big Lies About Immigrants and Fraud, with Sonya Schwartz",7/22/2026,65
"A Winning Message on Immigration, with Beatriz Lopez",6/30/2026,67
"The Reality-Based Economics of Immigration, with Jenny Hunt",6/19/2026,80
"News Digest: Green Card Chaos, Hunger Strikes, and Stern Dad Energy",6/3/2026,94
"The Truth About ICE, with Jason Houser",5/26/2026,107
Who’s Afraid of the H-1B?,3/17/2026,227
"DACA and the Dreamer Movement, with Felicia Escobar Carrillo",3/9/2026,193
"The Heartbreak of Immigration Reform, with Esther Olavarria",3/2/2026,279
Trailer: What is The Melting Pod?,2/23/2026,72
"Biden and the Border (Part 2), with Charanya Krishnaswami",2/23/2026,256
Welcome to The Melting Pod,2/23/2026,276
"Biden and the Border (Part 1), with Charanya Krishnaswami",2/23/2026,349
