Episode title,Consumption time (hours),Publish date,Episode URI
"Biden and the Border (Part 1), with Charanya Krishnaswami",128.64,2/23/2026,spotify:episode:25UHBkE8qqFX6J9rAnapKk
"The Heartbreak of Immigration Reform, with Esther Olavarria",98.57,3/2/2026,spotify:episode:4Z02PAQwKc0j9Xi6ywaPMj
"Biden and the Border (Part 2), with Charanya Krishnaswami",91.06,2/23/2026,spotify:episode:5Jeha3GzBvuBlOEiGHA6HS
Welcome to The Melting Pod,83.72,2/23/2026,spotify:episode:7ulKn8vAnz66u2H59ojW1O
"DACA and the Dreamer Movement, with Felicia Escobar Carrillo",74.87,3/9/2026,spotify:episode:4C2LTXeP1jfCez8NqAjIhu
Who’s Afraid of the H-1B?,73.09,3/17/2026,spotify:episode:1hjwD7uZrlqEVOQjuJzwts
"Confessions of an Immigration Bureaucrat, with Michael Valverde",47.13,8/13/2026,spotify:episode:6vod4lw4zyVqL1ZY4Nk36d
"The Truth About ICE, with Jason Houser",41.57,5/26/2026,spotify:episode:0Z6OrGNWMHtoO8IYF8dygi
"News Digest: Green Card Chaos, Hunger Strikes, and Stern Dad Energy",34.16,6/3/2026,spotify:episode:7H4wz85uVoComLYO4tfkrF
"The Reality-Based Economics of Immigration, with Jenny Hunt",27.74,6/19/2026,spotify:episode:3WuQQ50zJ0Kt6lq8NnJTEH
