Episode title,Total impressions,Home,Search,Library,Other Spotify Features,Publish date,Episode URI
"Confessions of an Immigration Bureaucrat, with Michael Valverde",839,218,164,457,0,8/13/2026,spotify:episode:6vod4lw4zyVqL1ZY4Nk36d
"A Winning Message on Immigration, with Beatriz Lopez",778,299,157,322,0,6/30/2026,spotify:episode:5rKWLDNahHoIRLMISp4vQj
"The Reality-Based Economics of Immigration, with Jenny Hunt",698,173,151,374,0,6/19/2026,spotify:episode:3WuQQ50zJ0Kt6lq8NnJTEH
"Three Big Lies About Immigrants and Fraud, with Sonya Schwartz",643,201,163,279,0,7/22/2026,spotify:episode:4ypoRSgXhDCBEOIDJkkdrk
"News Digest: Green Card Chaos, Hunger Strikes, and Stern Dad Energy",406,69,151,186,0,6/3/2026,spotify:episode:7H4wz85uVoComLYO4tfkrF
Welcome to The Melting Pod,376,43,110,223,0,2/23/2026,spotify:episode:7ulKn8vAnz66u2H59ojW1O
"Asylum Is Not a Loophole, with Colleen Zengotitabengoa",356,110,34,212,0,9/4/2026,spotify:episode:5zCSFfvf1OdDAtXY0Ku1HM
"The Truth About ICE, with Jason Houser",312,74,143,95,0,5/26/2026,spotify:episode:0Z6OrGNWMHtoO8IYF8dygi
"The Heartbreak of Immigration Reform, with Esther Olavarria",251,58,121,72,0,3/2/2026,spotify:episode:4Z02PAQwKc0j9Xi6ywaPMj
"DACA and the Dreamer Movement, with Felicia Escobar Carrillo",247,70,97,80,0,3/9/2026,spotify:episode:4C2LTXeP1jfCez8NqAjIhu
