Week starting,Retention rate (%)
2/23/2026,37.83784
3/2/2026,30
3/9/2026,34.48276
3/16/2026,28.000000000000004
3/23/2026,14.285715
3/30/2026,21.052632
4/6/2026,25
4/13/2026,14.285715
4/20/2026,25
4/27/2026,22.222222
5/4/2026,8.3333336
5/11/2026,0
5/18/2026,20
5/25/2026,29.090908
6/1/2026,21.052632
6/8/2026,17.64706
6/15/2026,21.052632
6/22/2026,41.176469999999995
6/29/2026,17.391305000000003
7/6/2026,11.111111
7/13/2026,40
7/20/2026,11.111111
7/27/2026,27.272728
8/3/2026,37.5
8/10/2026,21.428572000000003
8/17/2026,18.75
8/24/2026,9.090909
8/31/2026,34.782610000000005
