"APPLICATION","DOWNLOADS","% OF TOTAL"
"Apple Podcasts","6,200","64%"
"Spotify","1,003","10%"
"Chrome","656","7%"
"Overcast","398","4%"
"Safari","330","3%"
"AppleCoreMedia","252","3%"
"Pocket Casts","247","3%"
"Downcast","68","1%"
"Podcast Addict","57","1%"
"Castbox","51","1%"
"Podcast Republic","51","1%"
"other","48","0%"
"Firefox","45","0%"
"AntennaPod","42","0%"
"Mozilla","22","0%"
"Player FM","22","0%"
"Stagefright","22","0%"
"iTunes desktop software","19","0%"
"Dalvik Android Audio Library","18","0%"
"Podbean","18","0%"
"Amazon Music Podcasts","16","0%"
"Pandora","14","0%"
"Google Podcasts on Android","11","0%"
"Amazon Alexa","7","0%"
"iCatcher","5","0%"
"Google Podcasts on smart speakers","4","0%"
"Podcast Guru","4","0%"
"BeyondPod","1","0%"
"Castro","1","0%"
"Apple Watch","0","0%"
