Date,28-day new viewers,28-day casual viewers,28-day regular viewers
2026-02-22,6,0,0
2026-02-23,26,0,0
2026-02-24,46,1,0
2026-02-25,53,1,0
2026-02-26,61,1,0
2026-02-27,64,1,0
2026-02-28,66,1,0
2026-03-01,66,1,0
2026-03-02,79,1,0
2026-03-03,87,1,0
2026-03-04,94,1,0
2026-03-05,240,3,0
2026-03-06,572,4,0
2026-03-07,585,4,0
2026-03-08,589,5,0
2026-03-09,597,6,0
2026-03-10,603,6,0
2026-03-11,603,6,0
2026-03-12,604,7,0
2026-03-13,604,7,0
2026-03-14,605,7,0
2026-03-15,605,7,0
2026-03-16,607,8,0
2026-03-17,953,18,0
2026-03-18,1109,18,0
2026-03-19,1114,18,0
2026-03-20,1116,19,0
2026-03-21,1122,20,0
2026-03-22,1118,23,0
2026-03-23,1100,26,0
2026-03-24,1079,25,0
2026-03-25,1072,25,0
2026-03-26,1066,26,0
2026-03-27,1802,26,0
2026-03-28,1968,28,0
2026-03-29,2128,30,0
2026-03-30,2207,33,0
2026-03-31,2199,37,0
2026-04-01,2191,39,0
2026-04-02,2047,38,0
2026-04-03,1709,41,0
2026-04-04,1698,41,0
2026-04-05,1692,42,0
2026-04-06,1688,39,0
2026-04-07,1685,39,0
2026-04-08,1685,39,0
2026-04-09,1686,38,0
2026-04-10,1689,38,0
2026-04-11,1689,37,0
2026-04-12,1691,37,0
2026-04-13,1690,36,0
2026-04-14,1344,15,0
2026-04-15,1195,11,0
2026-04-16,1190,11,0
2026-04-17,1188,11,0
2026-04-18,1185,10,0
2026-04-19,1183,9,0
2026-04-20,1179,9,0
2026-04-21,1179,8,0
2026-04-22,1178,8,0
2026-04-23,1177,8,0
2026-04-24,431,25,0
2026-04-25,262,18,0
2026-04-26,105,9,0
2026-04-27,16,3,0
2026-04-28,16,2,0
2026-04-29,19,2,0
2026-04-30,19,2,0
2026-05-01,20,2,0
2026-05-02,19,2,0
2026-05-03,18,1,0
2026-05-04,18,1,0
2026-05-05,21,1,0
2026-05-06,21,1,0
2026-05-07,19,1,0
2026-05-08,16,2,0
2026-05-09,16,2,0
2026-05-10,15,4,0
2026-05-11,14,3,0
2026-05-12,14,3,0
2026-05-13,14,2,0
2026-05-14,14,2,0
2026-05-15,14,2,0
2026-05-16,16,2,0
2026-05-17,16,2,0
2026-05-18,16,2,0
2026-05-19,18,2,0
2026-05-20,17,2,0
2026-05-21,17,2,0
2026-05-22,17,1,0
2026-05-23,17,1,0
2026-05-24,72,2,0
2026-05-25,129,5,0
2026-05-26,230,10,0
2026-05-27,248,10,0
2026-05-28,267,11,0
2026-05-29,274,11,0
2026-05-30,285,10,0
2026-05-31,292,10,0
2026-06-01,299,10,0
2026-06-02,301,10,0
2026-06-03,309,11,0
2026-06-04,309,11,0
2026-06-05,315,11,0
2026-06-06,317,10,0
2026-06-07,318,11,0
2026-06-08,320,11,0
2026-06-09,323,10,0
2026-06-10,329,12,0
2026-06-11,329,12,0
2026-06-12,332,12,0
2026-06-13,330,12,0
2026-06-14,330,12,0
2026-06-15,334,13,0
2026-06-16,333,13,0
2026-06-17,334,13,0
2026-06-18,336,13,0
2026-06-19,374,18,0
2026-06-20,384,19,0
2026-06-21,344,26,0
2026-06-22,294,35,0
2026-06-23,192,42,0
2026-06-24,174,37,0
2026-06-25,155,39,0
2026-06-26,149,39,0
2026-06-27,141,39,0
2026-06-28,136,37,0
2026-06-29,129,38,0
2026-06-30,123,41,0
2026-07-01,117,33,0
2026-07-02,118,32,0
2026-07-03,113,34,0
2026-07-04,109,34,0
2026-07-05,107,32,0
2026-07-06,105,30,0
2026-07-07,104,29,0
2026-07-08,100,29,0
2026-07-09,101,28,0
2026-07-10,98,27,0
2026-07-11,99,27,0
2026-07-12,101,28,0
2026-07-13,99,26,0
2026-07-14,100,26,0
2026-07-15,99,24,0
2026-07-16,96,24,0
2026-07-17,58,18,0
2026-07-18,48,15,0
2026-07-19,37,14,0
2026-07-20,31,14,0
2026-07-21,29,13,0
2026-07-22,31,18,0
2026-07-23,33,18,0
2026-07-24,33,19,0
2026-07-25,34,19,0
2026-07-26,33,20,0
2026-07-27,34,21,0
2026-07-28,36,21,0
2026-07-29,34,21,0
2026-07-30,33,19,0
2026-07-31,32,16,0
2026-08-01,32,15,0
2026-08-02,32,15,0
2026-08-03,32,15,0
2026-08-04,31,16,0
2026-08-05,28,15,0
2026-08-06,26,15,0
2026-08-07,26,15,0
2026-08-08,25,15,0
2026-08-09,24,16,0
2026-08-10,22,16,0
2026-08-11,20,16,0
2026-08-12,21,17,0
2026-08-13,37,22,0
2026-08-14,42,22,0
2026-08-15,42,22,0
2026-08-16,44,22,0
2026-08-17,46,23,0
2026-08-18,44,23,0
2026-08-19,42,19,0
2026-08-20,41,20,0
2026-08-21,45,20,0
2026-08-22,46,21,0
2026-08-23,47,19,0
2026-08-24,47,18,0
2026-08-25,48,19,0
2026-08-26,50,17,0
2026-08-27,55,17,0
2026-08-28,56,17,0
2026-08-29,61,17,0
2026-08-30,63,17,0
2026-08-31,64,19,0
2026-09-01,68,18,0
