Traffic source,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,20770,3.73,1407,0:12:42,286.9659
Channel pages,3401,10.03,433,0:17:36,126.7384
Browse features,3988,4.41,279,0:12:00,50.0618
YouTube search,1877,8.1,200,0:04:56,14.9193
Suggested videos,10630,0.78,146,0:16:03,38.5327
Direct or unknown,,,136,0:06:21,14.4011
External,,,75,0:09:21,11.692
Other YouTube features,,,68,0:14:25,15.8624
Playlists,874,2.63,41,0:19:52,13.5775
Related Shorts,,,15,0:00:04,0.0199
Notifications,,,14,0:05:01,1.1726
